timestamp,frame_number,fps,inference_ms,detection_count,average_confidence,brightness
2026-07-24T20:12:18,1,1.418,703.66,0,0.0,0.735
2026-07-24T20:12:18,2,7.593,26.143,2,0.6378,134.125
2026-07-24T20:12:18,3,16.316,21.784,1,0.9157,135.088
2026-07-24T20:12:18,4,14.702,23.012,1,0.9177,136.192
2026-07-24T20:12:18,5,14.825,22.978,1,0.9204,137.688
2026-07-24T20:12:18,6,14.547,24.175,2,0.6388,138.77
2026-07-24T20:12:18,7,9.82,52.0,2,0.6385,139.723
2026-07-24T20:12:18,8,11.077,44.579,2,0.6564,141.091
2026-07-24T20:12:19,9,18.821,34.5,2,0.6469,141.834
2026-07-24T20:12:19,10,17.789,24.367,2,0.6441,142.462
2026-07-24T20:12:19,11,14.878,24.098,2,0.6381,143.126
2026-07-24T20:12:19,12,14.762,25.197,2,0.6443,143.658
2026-07-24T20:12:19,13,13.244,32.394,1,0.9177,144.122
2026-07-24T20:12:19,14,15.001,26.041,2,0.6367,144.352
2026-07-24T20:12:19,15,15.156,25.48,1,0.9243,144.131
2026-07-24T20:12:19,16,14.841,26.997,2,0.6525,144.117
2026-07-24T20:12:19,17,15.06,25.079,1,0.9148,144.556
2026-07-24T20:12:19,18,14.303,27.64,2,0.668,144.394
2026-07-24T20:12:19,19,15.607,24.19,2,0.6359,144.368
2026-07-24T20:12:19,20,15.512,24.913,3,0.5855,145.102
2026-07-24T20:12:19,21,14.402,26.942,2,0.6745,145.174
2026-07-24T20:12:19,22,15.439,24.556,2,0.6705,144.6
2026-07-24T20:12:19,23,14.979,24.06,2,0.657,144.757
2026-07-24T20:12:20,24,14.451,25.025,2,0.6487,144.988
2026-07-24T20:12:20,25,15.235,24.577,2,0.6717,144.664
2026-07-24T20:12:20,26,15.218,23.333,2,0.6652,144.812
2026-07-24T20:12:20,27,13.56,27.988,2,0.6674,144.629
2026-07-24T20:12:20,28,14.702,28.464,2,0.6747,144.03
2026-07-24T20:12:20,29,16.429,22.903,3,0.5686,144.0
2026-07-24T20:12:20,30,13.92,27.959,3,0.5992,143.68
2026-07-24T20:12:20,31,13.54,27.113,2,0.6701,142.619
2026-07-24T20:12:20,32,17.675,23.994,2,0.7032,142.356
2026-07-24T20:12:20,33,15.09,26.409,2,0.7264,142.125
2026-07-24T20:12:20,34,14.782,27.127,2,0.7017,141.323
2026-07-24T20:12:20,35,15.403,23.114,2,0.67,141.036
2026-07-24T20:12:20,36,13.443,28.353,2,0.7591,141.097
2026-07-24T20:12:20,37,14.016,27.247,2,0.7166,140.49
2026-07-24T20:12:20,38,16.699,26.406,2,0.7063,140.08
2026-07-24T20:12:21,39,13.519,28.395,2,0.7654,140.298
2026-07-24T20:12:21,40,12.749,28.734,2,0.742,140.083
2026-07-24T20:12:21,41,15.336,23.67,2,0.7681,139.835
2026-07-24T20:12:21,42,22.917,22.71,2,0.7542,140.206
2026-07-24T20:12:21,43,14.465,23.882,2,0.7381,140.333
2026-07-24T20:12:21,44,14.466,26.946,2,0.74,140.336
2026-07-24T20:12:21,45,14.502,25.816,2,0.7064,140.46
2026-07-24T20:12:21,46,15.565,25.854,2,0.7196,140.289
2026-07-24T20:12:21,47,14.619,24.345,2,0.7481,139.69
2026-07-24T20:12:21,48,14.254,28.013,2,0.7122,139.421
2026-07-24T20:12:21,49,14.435,24.26,2,0.7293,139.636
2026-07-24T20:12:21,50,17.702,22.546,2,0.7537,139.233
2026-07-24T20:12:21,51,14.637,23.807,2,0.7319,138.594
2026-07-24T20:12:21,52,12.856,28.616,2,0.7433,139.031
2026-07-24T20:12:21,53,16.562,24.255,2,0.7686,138.806
2026-07-24T20:12:22,54,14.368,27.826,2,0.7177,138.147
2026-07-24T20:12:22,55,15.281,25.085,2,0.7308,138.42
2026-07-24T20:12:22,56,16.425,23.262,2,0.6693,137.588
2026-07-24T20:12:22,57,12.398,29.939,2,0.6798,137.613
2026-07-24T20:12:22,58,15.333,26.039,2,0.7475,137.486
2026-07-24T20:12:22,59,17.261,23.476,2,0.6814,136.507
2026-07-24T20:12:22,60,13.355,28.717,3,0.628,137.064
2026-07-24T20:12:22,61,15.331,25.474,3,0.6211,136.627
2026-07-24T20:12:22,62,16.828,23.593,3,0.6022,135.858
2026-07-24T20:12:22,63,13.637,29.196,2,0.7251,136.347
2026-07-24T20:12:22,64,14.412,26.909,2,0.7491,136.185
2026-07-24T20:12:22,65,16.435,23.307,2,0.7098,135.433
2026-07-24T20:12:22,66,14.227,27.208,2,0.6633,135.44
2026-07-24T20:12:22,67,15.522,23.8,3,0.5662,135.437
2026-07-24T20:12:22,68,14.42,27.456,2,0.6552,134.928
2026-07-24T20:12:23,69,14.584,27.998,2,0.6756,134.632
2026-07-24T20:12:23,70,15.176,24.567,2,0.6967,134.968
2026-07-24T20:12:23,71,16.318,24.008,2,0.709,134.692
2026-07-24T20:12:23,72,13.052,28.867,2,0.7102,134.235
2026-07-24T20:12:23,73,15.482,23.54,2,0.7213,134.511
2026-07-24T20:12:23,74,16.742,23.931,2,0.7035,134.359
2026-07-24T20:12:23,75,13.373,28.933,2,0.7135,133.937
2026-07-24T20:12:23,76,13.566,28.645,2,0.7137,134.201
2026-07-24T20:12:23,77,17.658,22.87,2,0.6748,134.226
2026-07-24T20:12:23,78,15.305,24.032,2,0.6847,134.017
2026-07-24T20:12:23,79,13.698,28.309,2,0.711,134.175
2026-07-24T20:12:23,80,16.389,23.874,2,0.69,134.37
2026-07-24T20:12:23,81,13.966,28.589,2,0.7076,134.31
2026-07-24T20:12:23,82,15.111,24.979,2,0.6942,134.328
2026-07-24T20:12:23,83,16.6,23.524,2,0.738,134.639
2026-07-24T20:12:24,84,13.718,28.347,2,0.7249,134.65
2026-07-24T20:12:24,85,14.43,27.826,2,0.7124,134.576
2026-07-24T20:12:24,86,15.961,24.111,2,0.7152,134.763
2026-07-24T20:12:24,87,14.029,28.421,2,0.7142,134.779
2026-07-24T20:12:24,88,15.21,24.941,2,0.6706,134.681
2026-07-24T20:12:24,89,14.716,27.87,2,0.6852,134.89
2026-07-24T20:12:24,90,15.04,24.675,2,0.6958,134.987
2026-07-24T20:12:24,91,15.618,27.278,2,0.6965,134.908
2026-07-24T20:12:24,92,15.367,25.599,2,0.6784,134.984
2026-07-24T20:12:24,93,14.298,28.311,2,0.6628,135.037
2026-07-24T20:12:24,94,15.509,25.484,2,0.6767,134.92
2026-07-24T20:12:24,95,13.891,28.58,2,0.6895,134.828
2026-07-24T20:12:24,96,15.042,25.485,2,0.7116,134.803
2026-07-24T20:12:24,97,15.918,25.753,2,0.7189,134.627
2026-07-24T20:12:25,98,15.145,25.099,2,0.7063,134.423
2026-07-24T20:12:25,99,14.669,26.551,2,0.6849,134.263
2026-07-24T20:12:25,100,15.142,24.88,2,0.6673,134.125
2026-07-24T20:12:25,101,14.965,24.664,2,0.6639,133.976
2026-07-24T20:12:25,102,14.74,25.137,2,0.6533,133.93
2026-07-24T20:12:25,103,13.632,28.715,2,0.6672,133.908
2026-07-24T20:12:25,104,16.469,23.679,2,0.6895,133.87
2026-07-24T20:12:25,105,13.702,29.517,2,0.6824,133.91
2026-07-24T20:12:25,106,15.561,24.572,2,0.6937,133.942
2026-07-24T20:12:25,107,16.163,24.126,2,0.6861,133.964
2026-07-24T20:12:25,108,14.229,27.137,2,0.6925,134.026
2026-07-24T20:12:25,109,14.308,26.648,2,0.6926,134.067
2026-07-24T20:12:25,110,17.122,21.955,2,0.6923,134.077
2026-07-24T20:12:25,111,13.197,27.613,2,0.6986,134.076
2026-07-24T20:12:25,112,15.678,23.155,2,0.697,134.086
2026-07-24T20:12:26,113,14.224,27.626,2,0.6965,134.068
2026-07-24T20:12:26,114,15.988,23.454,2,0.7004,134.055
2026-07-24T20:12:26,115,14.017,26.835,2,0.6962,134.036
2026-07-24T20:12:26,116,15.959,23.418,2,0.6946,134.01
2026-07-24T20:12:26,117,13.696,29.447,2,0.7001,133.964
2026-07-24T20:12:26,118,16.058,23.735,2,0.7022,133.922
2026-07-24T20:12:26,119,13.953,28.907,2,0.692,133.925
2026-07-24T20:12:26,120,15.845,25.049,2,0.6986,134.003
2026-07-24T20:12:26,121,14.793,28.031,2,0.7118,134.375
2026-07-24T20:12:26,122,15.048,25.282,2,0.7079,135.123
2026-07-24T20:12:26,123,15.648,24.929,2,0.7062,135.567
2026-07-24T20:12:26,124,14.929,24.317,2,0.7181,135.744
2026-07-24T20:12:26,125,14.522,26.352,2,0.7215,135.795
2026-07-24T20:12:26,126,15.168,25.072,2,0.7104,135.763
2026-07-24T20:12:26,127,14.081,28.754,2,0.7018,135.701
2026-07-24T20:12:27,128,13.212,29.137,2,0.6923,135.722
2026-07-24T20:12:27,129,13.232,30.036,2,0.6964,135.754
2026-07-24T20:12:27,130,14.357,25.501,2,0.6993,135.678
2026-07-24T20:12:27,131,22.522,24.367,2,0.6971,135.622
2026-07-24T20:12:27,132,14.51,23.618,2,0.7003,135.529
2026-07-24T20:12:27,133,12.7,24.317,2,0.7066,135.449
2026-07-24T20:12:27,134,16.379,23.053,2,0.7026,135.489
2026-07-24T20:12:27,135,14.312,23.479,2,0.7023,135.681
2026-07-24T20:12:27,136,15.946,23.214,2,0.6911,135.849
2026-07-24T20:12:27,137,14.58,22.494,2,0.7077,136.063
2026-07-24T20:12:27,138,15.355,22.618,2,0.704,136.289
2026-07-24T20:12:27,139,14.283,24.046,2,0.6986,136.534
2026-07-24T20:12:27,140,17.378,22.629,2,0.6859,136.791
2026-07-24T20:12:27,141,12.417,23.726,2,0.6748,136.987
2026-07-24T20:12:27,142,17.37,21.952,2,0.6767,137.011
2026-07-24T20:12:28,143,13.842,23.145,2,0.6659,137.045
2026-07-24T20:12:28,144,15.584,23.051,2,0.6535,137.139
2026-07-24T20:12:28,145,14.447,23.154,2,0.6739,137.24
2026-07-24T20:12:28,146,15.169,23.685,2,0.6873,137.395
2026-07-24T20:12:28,147,16.616,23.453,2,0.6827,137.61
2026-07-24T20:12:28,148,12.663,24.24,2,0.6718,137.665
